"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Editors","Publisher","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Jamil D.; Palaniappan S.; Debnath S.K.; Bagchi S.; Chawla S.K.; Kaur T.; Bansal A.","Jamil, Danish (58200040800); Palaniappan, Sellappan (14632233400); Debnath, Sanjoy Kumar (57196187960); Bagchi, Susama (57200547195); Chawla, Sunil Kumar (57213856115); Kaur, Tejinder (58194093600); Bansal, Ankit (56666848900)","58200040800; 14632233400; 57196187960; 57200547195; 57213856115; 58194093600; 56666848900","A thorough analysis on mitigating the risk of gastric cancer using proper nutrition","2024","Securing Next-Generation Connected Healthcare Systems: Artificial Intelligence Technologies","","","","137","154","4","10.1016/B978-0-443-13951-2.00010-6","https://www.scopus.com/pages/publications/85199032677?origin=resultslist","Gastric cancer (GC) is a major cause of cancer-related deaths worldwide, and several dietary factors have been implicated in its development. This meta-analysis aimed to summarize the available evidence on the association between nutrition and GC risk, with a focus on identifying dietary factors that can reduce the risk of developing this deadly disease. Our study findings suggested that dietary factors, such as red meat, high-fat and high-salt diets, spicy foods, and alcohol, are significant risk factors for GC. On the other hand, a diet rich in fruits, vegetables, vitamin C, and dairy products can help reduce the risk of developing GC. Our research also highlights the importance of identifying the nutritional needs of cancer patients to provide effective treatment options and improve their quality of life (QoL). Our study has significant implications for public health policies that aim to reduce the burden of GC. For instance, policies that promote healthy diets and discourage the consumption of red and processed meats and high-salt foods can help prevent GC. Additionally, healthcare professionals can play a crucial role in identifying and addressing the nutritional needs of cancer patients to improve their treatment outcomes and overall well-being. This meta-analysis provides strong evidence that proper nutrition can play a significant role in reducing the risk of GC. The findings of this study have important implications for public health policies aimed at reducing the burden of GC. Overall, identifying cancer patients’ nutrition problems and implementing appropriate interventions can significantly improve their QoL and treatment outcomes. GC is a prevalent health concern worldwide, and healthcare professionals are always searching for ways to reduce the risk of this disease. With the help of modern technologies such as machine learning (ML), patient data can be analyzed to create personalized nutrition plans that can help reduce the risk of stomach cancer. By identifying lifestyle patterns and making dietary adjustments, ML algorithms can suggest healthy eating habits that can prevent the development of stomach cancer. © 2024 Elsevier Inc. All rights reserved.","classification; early-gastric cancer (EGC); Epidemiology; healthcare; Helicobacter pylori; machine learning; quality of life (QoL); risk factors","","","","Elsevier","","Book chapter","Final","","Scopus","2-s2.0-85199032677"
"Pandey M.; Arora M.; Biswas P.; Arora K.; Bhagat S.; Baheti V.","Pandey, Mrinal (56126895100); Arora, Mamta (57208746429); Biswas, Poonam (60559909800); Arora, Kanan (60559909900); Bhagat, Shivam (59537734200); Baheti, Vishal (59537874800)","56126895100; 57208746429; 60559909800; 60559909900; 59537734200; 59537874800","Deep Learning Framework Pertaining to Peach Leaf Disease Classification","2026","Lecture Notes in Electrical Engineering","1464 LNEE","","","275","286","0","10.1007/978-981-95-0148-9_21","https://www.scopus.com/pages/publications/105034859111?origin=resultslist","Agriculture is the largest livelihood provider in India. It contributes a significant figure to the gross domestic product. However, crop diseases can significantly impact agricultural productivity and food security. Accurate and timely classification of diseases in plants or crops is essential for effective disease management. These facts encourage our team to work upon the SDG:2 “End hunger, achieve food security and improved nutrition and promote sustainable agriculture.” After our research the team came into conclusion to do “Peach Leaf Disease Classification.” The literature survey concluded into using convolutional neural network. Machine learning models are increasingly used to identify and categorize plant diseases. Therefore, our team distributed among themselves four different architectures. Sequential CNN gave 96% accuracy, ResNet-50 gave 99.62% accuracy, VGG gave 97.50% accuracy, and AlexNet gave 99.25% accuracy. Our team is willing to focus on developing deep learning models capable of accurately distinguishing and classifying a diverse range of subcategories within broader classes. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026","AI; AlexNet; CNN; Image processing; ML; Peach leaf; ResNet-50; VGG","Agricultural machinery; Classification (of information); Crops; Deep learning; Food security; Food supply; Fruits; Learning systems; Plant diseases; Plants (botany); Alexnet; Disease classification; Food security; Images processing; Leaf disease; Learning frameworks; ML; Peach leaf; Resnet-50; VGG; Image processing",""," Agrawal A.; Pal O.;  Pandey H.M.","Springer Science and Business Media Deutschland GmbH","","Conference paper","Final","","Scopus","2-s2.0-105034859111"
"Hrithik A.K.; Kumar V.","Hrithik, Aaryan Kumar (58121606800); Kumar, Vipin (59240294400)","58121606800; 59240294400","Classification of Fruit Plants Leaf and Comparative Analysis of Machine Learning and Deep Learning Algorithms","2022","3rd IEEE 2022 International Conference on Computing, Communication, and Intelligent Systems, ICCCIS 2022","","","","673","680","3","10.1109/ICCCIS56430.2022.10037609","https://www.scopus.com/pages/publications/85146492709?origin=resultslist","Leaf is the essential part of plant which have significant feature for the identification of Plant. But without an expert, it is an exceedingly difficult task to find the type of plant. Fruits Plant have significant role in the fulfillment of proper nutrition. Therefore, automatic fruit plant detection is highly required, and it can be accomplished using image processing algorithms. In this paper, the authors themselves have collected 30 categories of fruit plant leaf(i. e., 11321 RGB images) leaves using a smartphone device and comparative studies have been performed for the classification of the leaf of the fruit plant using multiple machine learning (ML) algorithms i.e., Logistic Regression (LR), K-Nearest Neighbors (KNN), Support Vector Machine (SVM), Decision tree (DT), Multi-layer Perceptron (MLP), and Naive Bayes (NB). According to the performance analysis, MLP performed better than other classifiers including LR, KNN, SVM, DT, and NB, with an accuracy rate of 93.18%. In this paper, used DL models are ResNet, AlexNet, VggNet, SqueezeNet, GoogLeNet, ShuffleNet, Resnext50, and DenseNet. Based on the analysis of DL models, we can conclude that ShuffleNet has performed better than the others i.e., 99.96% accuracy.  © 2022 IEEE.","computer vision; deep learning; fruit plant leaf; image classification; image recognition; machine learning","Computer vision; Decision trees; Deep learning; Image classification; Image recognition; Learning algorithms; Learning systems; Nearest neighbor search; Plants (botany); Support vector machines; Deep learning; Fruit plant leaf; Images classification; Logistics regressions; Machine decisions; Machine-learning; Multilayers perceptrons; Nearest-neighbour; Plant leaves; Support vectors machine; Fruits","","Nand P.; Singh M.; Singh M.; Kaur M.; Jain V.","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","Final","","Scopus","2-s2.0-85146492709"
"Mirnezami S.V.; Hamidisepehr A.; Ghaebi M.; Hassan-Beygi S.R.","Mirnezami, Seyed Vahid (55377615000); Hamidisepehr, Ali (56509577600); Ghaebi, Mahdi (57222506781); Hassan-Beygi, Seyed Reza (23970657600)","55377615000; 56509577600; 57222506781; 23970657600","Apricot variety classification using image processing and machine learning approaches","2020","ACM International Conference Proceeding Series","","","3448856","","","5","10.1145/3448823.3448856","https://www.scopus.com/pages/publications/85102950657?origin=resultslist","Apricot which is a cultivated type of Zerdali (wild apricot) has an important place in human nutrition and its medical properties are essential for human health. The objective of this research was to obtain a model for apricot mass and separate apricot variety with image processing technology using external features of apricot fruit. In this study, five verities of apricot were used. In order to determine the size of the fruits, three mutually perpendicular axes were defined, length, width, and thickness. Measurements show that the effect of variety on all properties was statistically significant at the 1% probability level. Furthermore, there is no significant difference between the estimated dimensions by image processing approach and the actual dimensions. The developed system consists of a digital camera, a light diffusion chamber, a distance adjustment pedestal, and a personal computer. Images taken by the digital camera were stored as (RGB) for further analysis. The images were taken for a number of 49 samples of each cultivar in three directions. A linear equation is recommended to calculate the apricot mass based on the length and the width with R2 = 0.97. In addition, ANFIS model with C-means was the best model for classifying the apricot varieties based on the physical features including length, width, thickness, mass, and projected area of three perpendicular surfaces. The accuracy of the model was 87.7. © 2020 ACM.","Apricot; Classification; Image Processing; Machine Learning","Digital cameras; Fruits; Machine learning; Personal computers; Video cameras; External features; Human nutrition; Image processing technology; Light diffusion; Machine learning approaches; Physical features; Probability levels; Projected area; Image classification","","","Association for Computing Machinery","","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85102950657"
"Muthusamy S.; Ramu S.P.","Muthusamy, Sudhakar (58612319600); Ramu, Swarna Priya (55808654600)","58612319600; 55808654600","IncepV3Dense: Deep Ensemble Based Average Learning Strategy for Identification of Micro-Nutrient Deficiency in Banana Crop","2024","IEEE Access","12","","","73779","73792","29","10.1109/ACCESS.2024.3405027","https://www.scopus.com/pages/publications/85194070299?origin=resultslist","The Nutrition of a crop is very essential for the health conditions during its growth stages and yield. A plant development is dependent on various nutrients absorbed from the natural environment or fertilizer supplements. The shortage or lack of essential nutrients is one of the crucial factors which impacts the overall crop yield. Computer vision based phenomics have become an emerging area in agricultural research. In this part of research work, we propose a significant image classifier model which contributes as an Ensemble based Convolutional Neural Network(E-CNN) that can diagnose banana crop's micro-nutrient deficiency with improved accuracy using the leaf images. We selected Six popular deep learning pre-trained models namely VGG-19, InceptionResNetV2, InceptionV3, Xception, DenseNet169 and DenseNet201 and performed the modification of parameters in the top dense layers to experiment with the public available mendeley dataset containing banana crop leaf images with nutrient deficiencies. The diagnostic accuracy along with precision, recall, F1 score and support score was observed. On comparing the classifying accuracy parameters of the six mutated pretrained models, the modified DenseNet169 model attains the highest testing accuracy. The performance analysis was also done using confusion matrices. Finally, we created three binary ensembled models such as Xception+InceptionV3, Dense169+Xception and InceptionV3+Dense169 based on their top performance accuracy scores for the detection of micro nutrient deficiency in banana crop using the concept of averaging strategy. The proposed mutated ensemble based model InceptionV3+Dense169 (IncepV3Dense) attains a validation accuracy of 98.62% and f1 score of 93% for detecting banana crop micro nutrient deficiency.  © 2013 IEEE.","deep ensemble learning; Image classification; micro-nutrient deficiency; transfer learning","Deep learning; Fruits; Image classification; Image enhancement; Internet of things; Neural networks; Nutrients; Support vector machines; Deep ensemble learning; Deep learning; Ensemble learning; Features extraction; Images classification; Leaf images; Micro-nutrient deficiency; Nutrient deficiency; Support vectors machine; Transfer learning; Crops","","","Institute of Electrical and Electronics Engineers Inc.","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85194070299"
"Meshram V.; Choudhary C.; Kale A.; Rajput J.; Meshram V.; Dhumane A.","Meshram, Vishal (57211062703); Choudhary, Chetan (58287137300); Kale, Atharva (58428254500); Rajput, Jaideep (58286236000); Meshram, Vidula (57211062704); Dhumane, Amol (57190257788)","57211062703; 58287137300; 58428254500; 58286236000; 57211062704; 57190257788","Dry fruit image dataset for machine learning applications","2023","Data in Brief","49","","109325","","","11","10.1016/j.dib.2023.109325","https://www.scopus.com/pages/publications/85162191291?origin=resultslist","Dry fruits are convenient and nutritious snacks that can provide numerous health benefits. They are packed with vitamins, minerals, and fibres, which can help improve overall health, lower cholesterol levels, and reduce the risk of heart disease. Due to their health benefits, dry fruits are an essential part of a healthy diet. In addition to health advantage, dry fruits have high commercial worth. The value of the global dry fruit market is estimated to be USD 6.2 billion in 2021 and USD 7.7 billion by 2028. The appearance of dry fruits is utilized for assessing their quality to a great extent, requiring neat, appropriately tagged, and high-quality images. Hence, this dataset is a valuable resource for the classification and recognition of dry fruits. With over 11500+ high-quality processed images representing 12 distinct classes, this dataset is a comprehensive collection of different varieties of dry fruits. The four dry fruits included in this dataset are Almonds, Cashew Nuts, Raisins, and Dried Figs (Anjeer), along with three subtypes of each. This makes it a total of 12 distinct classes of dry fruits, each with its unique features, shape, and size. The dataset will be useful for building machine learning models that can classify and recognize different types of dry fruits under different conditions, and can also be beneficial for dry fruit research, education, and medicinal purposes. Due to their nutritional value and health advantages, dry fruits have been consumed for a very long time. One of the best strategies to improve general health is to include dry fruits in the diet. © 2023 The Author(s)","Computer vision; Dehydrated fruits; Fruit Classification; Fruit detection; Image classification; Machine learning","Classification (of information); Computer vision; Fruits; Health risks; Machine learning; Nutrition; 'Dry' [; Cholesterol levels; Dehydrated fruit; Fruit classification; Fruit detection; Health benefits; Image datasets; Images classification; Machine learning applications; Machine-learning; Image classification","","","Elsevier Inc.","","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85162191291"
"Raihen M.N.; Akter S.","Raihen, Md Nurul (58894738500); Akter, Sultana (58712554900)","58894738500; 58712554900","Prediction modeling using deep learning for the classification of grape-Type dried fruits","2024","International Journal of Mathematics and Computer in Engineering","2","1","","1","12","29","10.2478/ijmce-2024-0001","https://www.scopus.com/pages/publications/105002765864?origin=resultslist","Dried grapes (or Raisins) are among the most frequently grown and consumed cereal crops worldwide. They are also an important source of nutrition and nourishment in a variety of countries including Türkiye, the United States, Greece, etc. In addition to that, raisins consist of 15% water, 79% carbs (including 4% fiber), 3% protein, and very little fat. In our study, there were a total of 900 raisin grains used, with 450 pieces from each type: Kecimen and Besni raisin. Seven morphological features were taken from these images after going through several steps of pre-processing. Since machine learning algorithms can analyze large datasets quickly, automatic classification is made possible. With enough training and testing, machine learning models can attain a high degree of precision in classifying raisin grains. They are able to detect variations in size, shape, color, and texture that would be difficult for humans to detect consistently. Eleven machine learning and five different types of artificial intelligence have been used to classify these features. As part of this study, we look into different machine learning and deep learning methods: GaussianNB, Decision Tree, K-Nearest Neighbor, Random Forest, Support vector machine (SVM), XGBoost, LightGBM, and AdaBoost, Logistic Regression, Artificial Neural Network and Deep Learning Network. Study efficacy is evaluated using standard metrics as F1 score and ROC area under the curve (AUC). Using the caret, H2O, neuralnet, and keras packages, AdaBoost and LightGBM, two of the fourteen models, achieve an accuracy of 90.30% and 98.40%, respectively, and a ROC curve score of around 90%. © 2024 Md Nurul Raihen et al., published by Sciendo.","AdaBoost; classification algorithms; LightGBM; machine learning technique; Raisin grains; random forest","","","","Sciendo","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105002765864"
"Balaji G.; Vignesh M.","Balaji, G. (60381602900); Vignesh, M. (58597620800)","60381602900; 58597620800","SMARTBITE: Advanced Food Recognition and Caloric Assessment for Dietary Management","2026","Lecture Notes in Networks and Systems","1495 LNNS","","","263","271","0","10.1007/978-981-96-8043-6_21","https://www.scopus.com/pages/publications/105025743454?origin=resultslist","With today in a fast paced environment, staying nutritiously active is vital, and tracking our food intake is not always easy. In this work, we present SMARTBITE, a deep learning-based application for automatic food identification and calorie estimate to support intelligent dietary monitoring. The system utilizes MobileNetV2, an advanced CNN pre-trained on the ImageNet dataset, to categories food photographs into five classifications: The machine readable datasets contain apple, banana, beetroot, bell pepper, and watermelon. Additional fine tuning is performed on the model for a specialized food dataset using data augmentation techniques to improve accuracy and resistance. The system that suggests, identifies food items and based on that suggested system provides real time calorie and nutrition data. Based on the evaluation of the test set, the model achieves 94% accuracy showing its ability in reliable food classification. Autonomously identifying food items from photos, evaluating the caloric content, and providing users with valuable nutrition information are the aims of SMARTBITE to enhance user diet health. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Classification; CNN; Data augmentation; Deep learning; Food; Nutrition","Automatic identification; Fruits; Information management; Augmentation techniques; Bell-pepper; Caloric content; Data augmentation; Deep learning; Dietary management; Fine tuning; Food intake; Real- time; Test sets; Classification (of information); Deep learning; Nutrition","","Swaroop A.; Kansal V.; Hassanien A.E.","Springer Science and Business Media Deutschland GmbH","","Conference paper","Final","","Scopus","2-s2.0-105025743454"
"Deves Sabari V.L.; Brindha G.R.; Veeraragavan P.D.; Sathya A.; Thiruvengadam M.","Deves Sabari, V.L. (59761980400); Brindha, G.R. (59138331300); Veeraragavan, Priya Dharshini (58873175600); Sathya, A. (57190155355); Thiruvengadam, Muthu (13606231700)","59761980400; 59138331300; 58873175600; 57190155355; 13606231700","Personalized lifestyle recommendations for improved diabetes management leveraging machine learning","2025","Biomedical Signal Processing and Control","108","","107983","","","0","10.1016/j.bspc.2025.107983","https://www.scopus.com/pages/publications/105003966957?origin=resultslist","Diabetes is an extremely dangerous condition that is rapidly expanding, and its early diagnosis and effective management are crucial. Healthcare professionals must prioritize rapid diagnosis and personalized treatment strategies; however, with increasing patient numbers, existing healthcare facilities may be unable to meet this increased demand. As a result, it is critical that patients adopt self-management practices that are easy to comprehend using machine learning techniques. In this study, real-time blood glucose levels, blood pressure, and other lifestyle factors such as diet, exercise, stress, and sleep were collected, and Exploratory Data Analysis was conducted to compare the findings with those of previous research. Caloric estimation was performed using an extensive formulation for each participant. The parameters were divided into nine distinct cluster models using the K means clustering technique, and the resulting clusters were examined for features that yielded significant observations. The classification algorithms were used to segregate the new data into their appropriate clusters, and the obtained data were subjected to 5-fold cross validation to avoid overfitting and were classified into clusters using different classification algorithms such as Random Forest, Decision Tree, Naive Bayes, Logistic Regression, Support Vector Machine, and K-Nearest Neighbor. Pertinent recommendations were provided to each cluster's members based on the literature. An interactive web application was created by integrating machine learning models to improve user experience, which could be integrated into wearables in the future to revolutionize healthcare. © 2025 Elsevier Ltd","Clinical Data Collection; Diabetes; Lifestyle Recommendations; Machine Learning Algorithms; Quality Life","Diagnosis; Drug therapy; K-means clustering; k-nearest neighbors; Personalized medicine; Support vector machines; carbohydrate; fat; glucose; protein; Classification algorithm; Clinical data; Clinical data collection; Condition; Data collection; Diabetes management; Lifestyle recommendation; Machine learning algorithms; Machine-learning; Quality life; adult; alcohol consumption; Article; Bayesian learning; blood pressure; carbohydrate intake; decision tree; diabetes mellitus; diabetic diet; diastolic blood pressure; egg; exercise; fat intake; female; fluid intake; fruit consumption; glucose blood level; human; hypertension; k nearest neighbor; lifestyle modification; logistic regression analysis; machine learning; major clinical study; male; obesity; personalized medicine; physical activity; portion size; protein intake; random forest; sleep; smoking; stress management; support vector machine; systolic blood pressure; vegetable consumption; Nutrition","Kuvempu University, KU; Konkuk University, KU; SASTRA Deemed University","","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-105003966957"
"Opara I.K.; Opara U.L.; Okolie J.A.; Fawole O.A.","Opara, Ikechukwu Kingsley (57223692010); Opara, Umezuruike Linus (57191045175); Okolie, Jude A. (57207201667); Fawole, Olaniyi Amos (25723180300)","57223692010; 57191045175; 57207201667; 25723180300","Machine Learning Application in Horticulture and Prospects for Predicting Fresh Produce Losses and Waste: A Review","2024","Plants","13","9","1200","","","24","10.3390/plants13091200","https://www.scopus.com/pages/publications/85192771306?origin=resultslist","The current review examines the state of knowledge and research on machine learning (ML) applications in horticultural production and the potential for predicting fresh produce losses and waste. Recently, ML has been increasingly applied in horticulture for efficient and accurate operations. Given the health benefits of fresh produce and the need for food and nutrition security, efficient horticultural production and postharvest management are important. This review aims to assess the application of ML in preharvest and postharvest horticulture and the potential of ML in reducing postharvest losses and waste by predicting their magnitude, which is crucial for management practices and policymaking in loss and waste reduction. The review starts by assessing the application of ML in preharvest horticulture. It then presents the application of ML in postharvest handling and processing, and lastly, the prospects for its application in postharvest loss and waste quantification. The findings revealed that several ML algorithms perform satisfactorily in classification and prediction tasks. Based on that, there is a need to further investigate the suitability of more models or a combination of models with a higher potential for classification and prediction. Overall, the review suggested possible future directions for research related to the application of ML in postharvest losses and waste quantification. © 2024 by the authors.","forecast; fruit; horticulture; losses and waste; machine learning; models; postharvest; prediction; quantification; vegetables","","National Research Foundation, NRF, (64813, 129295); National Research Foundation, NRF","","Multidisciplinary Digital Publishing Institute (MDPI)","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85192771306"
